符合條件商品
資料日期：2026年  9月 21日
策略,	天花板地板
"序號","代碼","商品","成交","漲幅%","總量","20日乖離率(%)","處置股(1=是)","1日籌碼集中度(%)","5日籌碼集中度(%)","10日籌碼集中度(%)","20日籌碼集中度(%)","60日籌碼集中度(%)","五年正門檻(95%)","五年負門檻(5%)","實際量增倍數","產業","細產業","所有細產業",產業地位
25	,"5465.TW","富驊","29.35","9.93","662","18.92","0","27.95","21.04","18.28","15","4.18","16.75","-11.24","5.98","上櫃電腦及週邊設備","機殼","電源供應器,機殼,電子零件元件",偉訓轉投資之電腦、伺服器機殼廠
26	,"6140.TW","訊達","23.95","9.86","2658","33.28","0","4.82","4.95","6.08","5.33","2.39","25.36","-11.97","6.91","上櫃資訊服務","系統整合","系統整合,軟體業,企業資源規劃",以金融、資訊、媒體、半導體產業為主的系統整合商
27	,"6148.TW","驊宏資","40","0.38","14884","28.76","0","-13.12","-0.62","0.36","0.47","-0.21","26.19","-11.02","4.97","上櫃資訊服務","系統整合","系統整合,電腦通路商,電子通路,軟體業",金融及公共事業SI廠
28	,"6204.TW","艾華","108","-1.82","1725","18.81","0","-13.62","-2.48","-1.14","-1.72","-2.32","18.66","-17.32","4.35","上櫃電子零組件","電阻","被動元件,電阻",國內利基型被動元件大廠
29	,"6221.TW","晉泰","31","-1.59","3407","29.36","1","-34.96","-1.31","0.76","0.33","-1.42","9.88","-13.91","3.92","上櫃資訊服務","系統整合","系統整合,軟體業,軟體通路／代理,雲端科技,Internet技術與基礎設施",電子商務系統整合廠商
30	,"6257.TW","矽格","250.5","2.45","28057","16.48","0","0.99","27","20.01","6.18","0.36","11.84","-9.76","2.57","上市半導體","IC測試","IC封裝,IC測試,IC封裝測試",RF及混合IC專業測試廠商
31	,"6508.TW","惠光","29.15","10","1225","12.7","0","22.78","21.06","18.77","17.15","14.79","12.69","-8.12","12.47","上櫃農業科技業","農藥","農藥,化學工業,塑膠皮布,塑化製品",台灣第二大農藥及全球第三大地工膜廠商
32	,"6526.TW","達發","724","4.78","2896","13.93","0","18.96","19.94","18.1","7.68","3.1","13.51","-13.5","3.78","上市半導體","無線網路IC","無線網路IC,衛星導航晶片組,IC設計,網路通訊IC,射頻前端晶片",聯發科旗下無線通訊與固網通訊之晶片設計公司
33	,"6668.TW","中揚光","50.3","2.13","18858","17.81","0","-6.76","1.44","1.55","1.68","0.39","14.37","-11.71","4.46","上市光電","模具","光學鏡片/頭,光學元件,機械零組件,模具",鴻海集團轉投資的光學鏡片模具廠
34	,"6706.TW","惠特","164","9.7","14648","23.75","0","24.82","-0.5","2.51","0.92","0.36","22.12","-16.22","2.5","上市光電","LED設備","LED,MicroLED,半導體製程設備,設備儀器商,LED設備",全球最大LED點測分選設備商
35	,"6715.TW","嘉基","451.5","4.27","5332","27.08","0","-6.04","4","2.98","-2.19","-2.9","22.92","-12.56","2.7","上市電子零組件","連接線材","電子零件元件,連接線材,傳輸介面,Thunderbolt",嘉澤轉投資之高速連接線器廠商
36	,"6945.TW","圓祥生技","135","2.27","962","28.47","0","5.51","15.66","14.79","5.77","0.39","21.71","-9999","2.28","上櫃生技醫療","新藥研發","醫藥產業,新藥研發",浩鼎旗下雙特異性抗體新藥研發廠
37	,"6957.TW","裕慶-KY","290","7.21","640","23.98","0","2.03","1.51","2","0.16","1.06","16.16","-10.68","3.38","上市其他","金屬加工／製品","傳產其他,金屬加工/製品",商用展示架及電動床機構件研發商
38	,"8150.TW","南茂","103","9.57","63139","14.22","0","41.87","30.36","14.63","9.87","-0.79","14.06","-13.95","2.68","上市半導體","LCD驅動IC封裝","IC封裝,IC測試,金、錫凸塊,IC封裝測試,LCD驅動IC封裝,封測服務與材料",全球前3大LCD驅動IC封測廠
39	,"8215.TW","明基材","30.05","9.87","7642","17.06","0","32.13","6.12","5.5","4.94","0.13","12.43","-10.46","4.85","上市光電","偏光板","面板零組件,偏光板",全球前五大、台灣第一大偏光板供應商
40	,"8277.TW","商丞","16.85","-9.8","308","98.62","0","3.25","12.11","11.55","9.52","1.77","16.22","-12.65","2","上櫃半導體","儲存設備","電子零件元件,週邊產品,儲存設備,磁碟陣列控制器,記憶體模組",記憶體模組兼儲存設備廠
