符合條件商品
資料日期：2026年  9月 24日
策略,	RS加權
"序號","代碼","商品","成交","漲幅%","總量","歐奈爾RS評分(1-99)","距最高收盤跌幅(%)","處置股(1=是)","20日乖離率(%)","月線斜率(%)","近5日漲幅(%)","近10日漲幅(%)","近20日漲幅(%)","1日籌碼集中度(%)","5日籌碼集中度(%)","10日籌碼集中度(%)","20日籌碼集中度(%)","60日籌碼集中度(%)","布林通道位階","產業","細產業","所有細產業",產業地位
81	,"2476.TW","鉅祥","122.5","0.41","722","68","9.93","0","0.57","-0.16","2.51","2.94","-3.16","0.55","13.41","8.07","3.12","2.85","1.19","上市電子零組件","模具沖壓","模具沖壓,電子零件元件",台灣沖壓件暨機構件大廠
82	,"2520.TW","冠德","37.3","0.95","938","61","2.74","0","1.37","0.22","-0.13","1.5","4.63","19.51","4.11","9.62","10.75","15.19","3.77","上市建材營造","營建","營建,住宅建設,地產,營造工程",大台北地區的中大型建商
83	,"2603.TW","長榮","243","0","4945","82","3.38","0","2.66","0.22","0.21","5.19","4.52","5.26","8.42","14.09","5.13","19.42","7.18","上市航運業","貨櫃航運","貨櫃航運,運輸事業",全球前七大貨櫃航商，且為台灣最大
84	,"2605.TW","新興","36.5","-1.48","6257","87","15.8","0","1.03","0.29","-1.75","0.69","6.1","-30.45","-1.52","4.34","2.92","1.36","2.42","上市航運業","散裝航運","散裝航運,油輪,運輸事業",台灣前四大散裝船商
85	,"2606.TW","裕民","76.7","0","2953","81","3.76","0","-0.03","0.16","-0.39","-2.17","3.23","3.89","4.64","1.74","4.6","9.71","-0.06","上市航運業","散裝航運","散裝航運,油輪,運輸事業",台灣最大散裝航運公司之一
86	,"2609.TW","陽明","59.6","-0.5","12099","70","9.7","0","0.95","0.14","-3.87","2.76","2.94","-3.59","-5.05","13.57","5.4","8.68","1.91","上市航運業","貨櫃航運","貨櫃航運,運輸事業",台灣第二大貨櫃海運公司
87	,"2610.TW","華航","20.3","-0.73","25331","40","16.12","0","-0.14","-0.12","-0.25","0.5","-2.4","-37.28","-6.5","-4.88","-1.96","0.46","-0.77","上市航運業","空運","空運,運輸事業",台灣前兩大航空公司
88	,"2615.TW","萬海","115.5","1.76","6307","88","8.7","0","0.83","0.09","-4.15","4.52","1.76","14.9","-2.83","6.22","-0.42","9.1","1.79","上市航運業","貨櫃航運","貨櫃航運,運輸事業",亞洲大型貨櫃輪航商
89	,"2618.TW","長榮航","42","-1.98","20372","58","6.46","0","-0.3","-0.09","-0.12","0.48","-1.75","-31.48","6.18","7.75","7.23","8.86","-1.49","上市航運業","空運","空運,運輸事業",台灣前兩大航空公司
90	,"2634.TW","漢翔","63.1","0.96","3731","68","13.92","0","-2.5","-0.55","-1.25","-1.1","-10.24","-1.02","-8.18","-3.87","-16.87","-1.17","-5.18","上市航運業","飛機零件／製造","航天軍工,飛機維修,運輸事業,機械零組件,飛機零件/製造",台灣航太產業領導者
91	,"2637.TW","慧洋-KY","100.5","0","1912","88","1.95","0","1.24","0.3","-1.47","0","6.24","-2.93","2.34","8.34","7.92","7.89","2.19","上市航運業","散裝航運","散裝航運,運輸事業",台灣具規模的散裝船隊船東之一
92	,"2801.TW","彰銀","27.75","-0.36","12371","78","6.25","0","1.68","0.56","-6.25","3.35","12.35","-5.13","-14.48","-3.32","-1.44","1.4","1.72","上市金融保險","銀行","銀行,金融業",台灣老牌銀行，為銀行界歷史悠久的三商銀之一
93	,"2820.TW","華票","17","-1.45","3574","51","4.76","0","-0.54","0.12","-2.58","-0.29","2.41","-40.96","-15.67","1.9","1.62","-6.42","-1.52","上市金融保險","票券","票券,金融其他,金融業",台灣前三大票券商
94	,"2834.TW","臺企銀","17.85","-0.28","13930","62","4.8","0","0.68","0.42","-4.8","-0.28","9.17","-20.63","-22.97","-4.07","1.18","-3.82","1.01","上市金融保險","銀行","銀行,金融業",台灣六大泛公股銀行之一
95	,"2838.TW","聯邦銀","21","-0.94","1171","59","14.98","0","-0.25","0.14","-3.67","0.48","2.94","-20.07","-12.6","-0.62","1.68","-6.94","-0.55","上市金融保險","銀行","銀行,金融業",三重幫林榮三家族為大股東之民營銀行
96	,"2845.TW","遠東銀","13.3","-0.37","4754","58","3.27","0","-1.83","-0.06","-3.27","-1.12","-1.12","-19.06","-17.3","3.04","8.8","9.81","-6.91","上市金融保險","銀行","銀行,金融業",遠東集團旗下之中小型商業銀行
97	,"2851.TW","中再保","47.5","-0.94","1710","89","1.35","0","1.99","0.19","1.06","4.05","3.94","0.82","9.7","11.48","5.01","3.75","5.08","上市金融保險","再保險","壽險,產險,再保險,金融業",長榮集團旗下，為台灣保險市場中唯一的本土再保險公司
98	,"2855.TW","統一證","57.8","0.17","5306","91","2.2","0","10.05","0.96","10.1","11.8","20.92","4.43","27.64","22.32","20.21","7.84","9.72","上市金融保險","證券","證券,金融業",為統一集團旗下券商，市佔排名前八大
99	,"2880.TW","華南金","45.75","-0.11","5910","83","4.49","0","1.74","0.72","-4.49","2.12","16.26","1.69","-2.81","7.9","12.03","6.16","1.88","上市金融保險","金控","銀行,產險,證券,投信,金控,金融其他,資產管理,金融業",以銀行為主體公營金控公司，為台灣銀行界歷史悠久的三商銀之一
100	,"2881.TW","富邦金","150","-1.96","8417","86","2.91","0","0.38","0.29","-0.99","1.01","6.01","-30.52","0.52","2.03","4.61","5.33","0.84","上市金融保險","金控","銀行,壽險,產險,證券,投信,投資信託,金控,金融其他,資產管理,金融業",台灣資產規模前二大的金控公司，旗下擁有台灣最大產險公司
101	,"2882.TW","國泰金","110.5","-0.9","11812","84","4.33","0","-0.79","0.36","-1.34","0","7.8","-13.77","-3.14","-1.39","3.51","2.51","-2.17","上市金融保險","金控","銀行,壽險,產險,證券,投信,投資信託,金控,金融其他,資產管理,金融業",台灣資產規模前二大金控公司，旗下擁有台灣最大壽險公司
102	,"2883.TW","凱基金","38.95","-1.02","20806","93","3.71","0","4.03","0.92","-1.77","4.7","21.15","-8.33","-2.55","4.05","9.55","11.6","3.76","上市金融保險","金控","銀行,證券,金控,金融業",以投資銀行業務為主之金控，並藉購併跨入證券與商業銀行領域
103	,"2884.TW","玉山金","45.6","0","18255","84","3.59","0","2.95","0.8","-3.59","1.45","18.29","3.22","-5.86","3.3","6.62","8.89","2.59","上市金融保險","金控","銀行,保險經紀,證券,金控,金融其他,金融業",以玉山銀行為主體的金控公司
104	,"2885.TW","元大金","69.2","-0.57","13759","86","3.22","0","0.39","0.44","0.29","-0.72","9.49","-11.05","5.51","0.35","9.48","-0.41","0.75","上市金融保險","金控","銀行,證金公司,證券,投信,投資信託,金控,金融其他,資產管理,金融業",以證券為主體金控公司，旗下元大證券為台灣最大券商
105	,"2886.TW","兆豐金","49.6","-0.8","8333","68","6.59","0","-1.42","0.34","-4.43","-0.6","7.48","-22.73","-8.8","-0.03","5.45","3.26","-3.07","上市金融保險","金控","銀行,產險,票券,證券,投信,金控,金融其他,資產管理,金融業",具有國營背景的金控公司，旗下銀行為台灣主要企業聯貸銀行
106	,"2887.TW","台新新光金","42.5","-1.05","22157","91","4.28","0","0.76","0.62","-3.52","0.83","13.94","-13.07","-9.88","-0.47","5.2","6.08","0.91","上市金融保險","金控","銀行,壽險,保險經紀,證券,投信,金控,金融其他,資產管理,金融業",以消費金融業務為主體之台灣金控公司
107	,"2889.TW","國票金","16.55","-1.49","9529","67","5.97","0","-0.41","0.11","-4.34","0","2.16","-47.65","-24.72","-11.73","-11.25","-7.76","-0.76","上市金融保險","金控","票券,證券,金控,金融其他,金融業",台灣唯一以票券業務為主體之金控公司
108	,"2890.TW","永豐金","45.15","0.22","10439","84","1.74","0","3.44","0.67","-1.74","5.24","14.74","7.96","-0.76","3.62","6.85","3.64","4.48","上市金融保險","金控","銀行,證券,投信,金控,租賃,金融其他,資產管理,金融業",以銀行為主體的的大型金控，旗下另有證券、投信業務
109	,"2891.TW","中信金","68.5","-0.58","17628","77","5.39","0","0.63","0.35","-3.79","1.78","7.37","-7.86","-4.31","8.49","6.9","-0.62","1.2","上市金融保險","金控","銀行,壽險,保險經紀,證券,投信,投資信託,金控,資產管理,金融業,保全業,服務業",台灣資產規模前四大金控公司，旗下中信銀為最大信用卡發卡銀行
110	,"2892.TW","第一金","39.5","-0.88","11354","78","3.07","0","3.29","0.81","-3.07","3.95","18.44","8.34","2.57","10.6","12.87","7.19","3.56","上市金融保險","金控","銀行,壽險,證券,投信,金控,金融其他,資產管理,金融業",台灣前三大官股金控公司，旗下銀行為業界歷史悠久的三商銀之一
111	,"2897.TW","王道銀行","11.05","-0.45","2782","68","1.78","0","1.12","0.32","-1.78","2.31","6.76","-13.98","-2.02","3.35","10.55","6.73","2.29","上市金融保險","銀行","銀行,金融業",前身為台灣工業銀行，台灣第一家數位銀行
112	,"2905.TW","三商","18.3","-1.88","1197","83","2.92","0","0.33","0.25","-1.88","-0.27","5.17","-29.82","-8.31","-3.23","-0.35","2.83","0.71","上市貿易百貨","控股公司","控股公司",轉投資子公司業務包含壽險、零售、餐飲、資訊服務、製藥等
113	,"2915.TW","潤泰全","60","-0.17","1536","72","2.91","0","4.07","0.12","2.39","5.45","2.39","18.29","16.03","10.98","0.6","6.66","9.63","上市貿易百貨","貿易","流通業,貿易,成衣,成衣銷售/零售,織布業,控股公司",潤泰集團旗下，經營紡織貿易、零售事業之控股公司
114	,"3006.TW","晶豪科","275","0.36","6499","96","11.86","0","-3.16","0.02","-1.26","-11.86","0.36","-23.62","-11.43","-13.9","-4.23","0.85","-3.67","上市半導體","DRAM記憶體IC","DRAM記憶體IC,FLASH記憶體IC,類比IC,IC設計",台灣利基型記憶體IC設計廠商
115	,"3014.TW","聯陽","140.5","-1.75","2409","51","16.62","0","5.48","0.32","5.24","6.84","6.44","-23.62","1.7","4.78","0.4","-10.05","9.23","上市半導體","IO控制IC","IO控制IC,IC設計,消費性IC,PC週邊IC,影音IC,高速傳輸介面IC,安全監控IC,數位電視IC,觸控IC",全球輸出入(I/O)控制IC領導廠商
116	,"3016.TW","嘉晶","160","9.97","49084","96","0","0","41.85","2.74","38.53","45.45","60.16","14.4","17.45","7.01","7.07","1.86","14.78","上市半導體","磊晶","第三類半導體,磊晶,矽晶圓,IC製造",台灣專業磊晶矽晶圓業者
117	,"3017.TW","奇鋐","3555","2.45","2261","96","0.42","0","5.59","0.32","11.62","2.75","6.44","8.58","4.56","-0.06","2.21","4.97","8.22","上市電腦及週邊設備","筆記型電腦用散熱模組","伺服器機殼,機殼,散熱風扇馬達,電子零件元件,散熱模組,其他散熱零件,伺服器用散熱模組,筆記型電腦用散熱模組",全球最大PC散熱模組廠
118	,"3022.TW","威強電","93.1","2.65","1541","78","17.61","0","4.42","0.09","4.72","10.31","1.75","19.92","11.99","15.06","0.52","2.61","5.91","上市電腦及週邊設備","工業電腦","工業電腦",台灣知名工業電腦廠商
119	,"3024.TW","憶聲","14.6","1.74","877","73","17.98","0","0.46","0","-1.35","0.34","0","12.88","-13.14","-4.33","0.26","1.39","1.01","上市光電","電器銷售","資產股,車用電子,車載影音系統,電器銷售,家電,地產,園區開發",經營歌林品牌家電
120	,"3026.TW","禾伸堂","810","5.47","13190","99","19.4","0","8.01","-13.58","6.58","0.87","20","19.01","-0.65","-0.73","0.59","-0.37","7.38","上市電子零組件","電子元件代理商","被動元件,MLCC,鋁質電解電容,IC零組件通路商,電子元件代理商,電子通路",主要自製MLCC及代理電子元件
121	,"3029.TW","零壹","120","1.27","2035","67","4","0","4.01","0.35","3.45","6.19","7.14","15.87","13.67","-1.4","0.07","5.24","5.28","上市資訊服務","軟體通路／代理","資訊安全,系統整合,軟體業,軟體通路／代理,雲端科技,Internet技術與基礎設施",台灣大型加值型網路代理商
122	,"3031.TW","佰鴻","30.45","7.6","7189","75","11.74","0","19.58","1.05","14.26","26.35","21.07","10.02","-2.79","0.62","0.39","-1.63","11.93","上市光電","LED封裝","LED,LED封裝,LED照明產品",台灣LED封裝暨紅外線傳輸模組廠商
123	,"3034.TW","聯詠","543","-0.37","3573","70","4.23","0","-0.19","-0.05","-0.37","-0.37","-0.91","-15.34","2.31","4.36","3.38","4.72","-0.62","上市半導體","LCD驅動IC","IC設計,LCD驅動IC,LCD控制IC,影音IC,CMOS晶片,安全監控IC,手機面板驅動IC,數位電視IC,觸控IC,SOC",全球面板驅動IC設計龍頭廠
124	,"3035.TW","智原","206.5","1.23","4855","73","11.37","0","13.09","0.83","15.36","15.36","17","15.8","13.15","11.08","8.02","2.34","11.12","上市半導體","ASIC","IC設計,設計IP,ASIC",聯電體系的ASIC及設計IP廠
125	,"3037.TW","欣興","1185","2.16","16628","99","0","0","18.3","0.02","26.06","19.22","0.42","10.3","22.39","12.25","5.29","2.88","11.94","上市電子零組件","印刷電路板","印刷電路板,印刷電路板相關,HDI板,IC基板,封測服務與材料,BGA基板,ABF載板",全球印刷電路板龍頭廠之一
126	,"3042.TW","晶技","203","2.53","41859","91","18.47","0","11.28","-13.67","13.73","12.47","5.73","-0.68","7.86","6.59","0.51","-0.05","13.78","上市電子零組件","石英元件","被動元件,石英元件,振盪器",台灣最大石英元件、頻率控制元件廠商
127	,"3044.TW","健鼎","538","-0.92","1426","84","6.11","0","6.19","0.57","7.17","6.96","11.85","-12.06","16.8","9.87","9.19","0.04","9.12","上市電子零組件","印刷電路板","印刷電路板,印刷電路板相關,HDI板",全球前十大印刷電路板廠之一
128	,"3045.TW","台灣大","122.5","-0.41","4901","64","1.61","0","1.85","0.29","-1.21","2.08","6.06","-1.53","0.74","6.19","8.12","1.47","3.45","上市通信網路","電信／數據服務","無店舖販售,電視購物,低軌道衛星,網通設備,電信/數據服務,通訊服務,Internet應用與服務,電商平台,衛星通訊服務,行動通訊",台灣前三大電信業者之一
129	,"3055.TW","蔚華科","199","-2.21","9056","98","3.63","0","26.85","2.43","23.6","24.37","59.84","-8.98","4.64","2.99","0.06","-0.81","8.34","上市電子通路","封測用設備","半導體製程設備,設備儀器商,封測用設備",半導體測試解決方案商
130	,"3066.TW","李洲","27.4","0.55","2127","85","9.27","0","6.28","0.47","-3.18","14.64","9.6","-8.65","-2.92","3.51","0.5","-0.41","4.16","上櫃光電","LED封裝","LED,LED封裝",台灣利基型LED封裝廠
131	,"3094.TW","聯傑","54.3","0","22755","92","4.4","0","19.39","1.81","15.53","29.59","42.52","-12.56","0.59","1.43","1.95","0.92","8.35","上市半導體","網路通訊IC","IC設計,網路通訊IC",嵌入式乙太網路IC設計廠商
132	,"3105.TW","穩懋","502","1.01","21692","98","18.64","0","7.6","0.61","6.58","8.78","12.68","10.87","6.89","5.32","1.71","1.13","7.92","上櫃半導體","砷化鎵相關","砷化鎵相關,第三類半導體,化合物晶圓,IC製造",全球最大砷化鎵晶圓代工廠
133	,"3141.TW","晶宏","83.9","-2.89","2518","87","18.15","0","-8.73","0.38","-11.12","-8.9","9.1","-13.62","-8.49","-4.96","0.74","1.6","-6.22","上櫃半導體","LCD驅動IC","馬達IC,IC設計,LCD驅動IC,觸控IC",LCD驅動IC設計公司，也是電子紙驅動IC重要供應商之一
134	,"3167.TW","大量","949","6.63","8379","97","0.21","0","13.88","1.26","16.16","11.91","27.9","10.41","-0.6","-2.61","1.45","-1.03","10.62","上市電機機械","雷射鑽孔機、鑽頭","雷射鑽孔機、鑽頭,PCB相關設備,印刷電路板相關,設備儀器商",全球PCB成型機龍頭廠
135	,"3178.TW","公準","68.9","-1.57","645","67","9.22","0","8.28","0.68","9.71","14.26","14.26","-8.22","-5.5","-5.06","-5.03","-4.21","5.56","上櫃半導體","半導體製程設備","半導體製程設備,設備儀器商,面板設備,機械零組件,飛機零件/製造,模具",機台設備使用之關鍵零組件、精密模具製造商
136	,"3189.TW","景碩","962","6.18","44137","99","0","0","14.79","0.29","19.5","16.32","5.25","14.52","14.43","9.82","2.43","1.25","13.37","上市半導體","IC基板","隱形眼鏡,輔助與彌補用醫材,IC基板,封測服務與材料,BGA基板,ABF載板",全球ABF載板的主要供應商
137	,"3211.TW","順達","378.5","-0.39","1234","53","19.3","0","0.12","-0.25","4.99","1.2","-4.78","-20.02","5.26","-0.06","-2.64","-1.47","0.18","上櫃電腦及週邊設備","消費用電池","資產股,消費用電池,電池,BBU",全球知名筆記型電腦電池組裝廠
138	,"3219.TW","倚強科","114.5","9.57","2352","89","0","0","24.91","1.66","40.15","29.67","35.5","13.1","1.94","1.06","2.29","2.46","13.59","上櫃其他電子","設備儀器商","設備儀器商",全球領先的消費電子及車電測試方案供應商
139	,"3229.TW","晟鈦","56.4","-1.74","1457","98","16.44","0","-1.68","0.11","-3.75","-8.14","2.36","-19.77","-10.73","-5.27","-2.68","-2.41","-0.89","上市電子零組件","PCB材料","PCB材料,印刷電路板,印刷電路板相關",磷銅球、小量多樣PCB供應商
140	,"3231.TW","緯創","184.5","2.5","31270","79","6.82","0","-0.38","0.14","-1.07","-0.27","2.79","18.87","-17.57","-9.61","-4.59","2.73","-0.68","上市電腦及週邊設備","筆記型電腦製造","伺服器,筆記型電腦製造,AI伺服器,電子製造服務,電腦系統業",全球前五大NB代工廠
141	,"3234.TW","光環","178","4.71","4461","98","15.64","0","-4.52","-0.05","0.56","-8.72","-1.11","-14.12","-11.98","-9.84","-6.27","-1.43","-3.29","上櫃通信網路","光纖主動元件","光通訊元件磊晶,IC製造,光通訊,光纖主動元件",光收發模組上游晶粒及封裝廠
142	,"3264.TW","欣銓","246","-2.38","18332","92","13.38","0","2.81","0.56","0.61","2.5","12.07","-23.93","-6.68","-3.66","-0.09","-0.89","1.91","上櫃半導體","IC測試","IC測試,IC封裝測試",主攻晶圓測試，台灣前三大IC測試廠之一
143	,"3265.TW","台星科","183","1.67","1087","83","5.43","0","4.93","0.19","8.93","7.02","3.68","12.88","18.13","13.76","4.63","2.23","5.16","上櫃半導體","IC封裝","IC封裝,IC測試,IC封裝測試",淡馬錫控股之IC封測廠
144	,"3287.TW","廣寰科","41.05","-0.73","476","79","3.64","0","8.79","0.56","6.62","14.99","11.4","2.31","0.19","3.53","2.65","0.99","6.17","上櫃電腦及週邊設備","電競週邊","滑鼠,鍵盤,週邊產品,電聲產品,耳機,電競週邊",「GAMDIAS」電競周邊產品品牌商
145	,"3293.TW","鈊象","761","4.39","5755","38","7.08","0","6.52","-5.9","4.97","8.1","8.1","45.72","25.39","19.29","-0.15","-0.97","15.09","上櫃文化創意","PC遊戲","PC遊戲,遊戲產業,手機遊戲",台灣商用遊戲機與網路遊戲大廠
146	,"3324.TW","雙鴻","1710","7.21","6452","94","0","0","21.21","2.36","23.47","18.75","61.32","8.25","5.9","2.76","11.62","6.82","11.59","上櫃其他電子","筆記型電腦用散熱模組","散熱模組,伺服器用散熱模組,筆記型電腦用散熱模組",台灣前二大散熱模組廠商
147	,"3346.TW","麗清","23.6","-0.21","587","54","19.45","0","15.5","0.85","16.26","15.97","17.12","-11.41","2.57","0.25","-2.25","-4.21","8.13","上市汽車","LED封裝","LED,LED封裝",LED車燈模組製造廠
148	,"3354.TW","律勝","30","6.57","2056","86","15.25","0","8.58","2.06","2.56","-1.48","21.95","-4.28","-3.67","-1.76","-2.32","-2.16","5.08","上櫃電子零組件","軟板基板","軟板基板,印刷電路板相關",台灣軟式印刷電路板基材製造商
149	,"3362.TW","先進光","173","1.76","1003","83","18.01","0","-6.63","-0.84","-1.14","-5.21","-15.4","5.68","-2.39","-2.21","-3.64","-0.12","-4.55","上櫃光電","光學鏡片／頭","光學鏡片/頭,光學元件",台灣光學鏡頭研發及製造廠商
150	,"3374.TW","精材","449","-4.87","14759","96","7.99","0","1.58","1.12","4.66","-7.99","27.92","-21.23","-5.46","-5.62","4.57","1.06","1.2","上櫃半導體","IC封裝","IC封裝,IC測試,IC封裝測試",台積電轉投資的封測廠
151	,"3406.TW","玉晶光","901","-0.44","2920","91","18.83","0","-8.77","0.34","-6.63","-15.79","8.03","-3.6","-7.7","-4.03","1.3","2.11","-7.38","上市光電","光學鏡片／頭","LED,LED照明產品,光學鏡片/頭,光學元件",台灣光學鏡頭大廠，專注於手機鏡頭與AR/VR透鏡
152	,"3441.TW","聯一光","181","1.97","599","99","5.97","1","15.07","1.4","-5.97","19.87","31.64","11.19","7.66","0.5","-0.39","-0","5.39","上櫃光電","光學鏡片／頭","傳產其他,光學,光學鏡片/頭,光學元件",台灣光學鏡頭上游專業光學毛胚廠
153	,"3443.TW","創意","8525","1.67","1471","99","0","0","30.22","2.03","31.15","36.95","44","2.72","4.91","2.96","2.2","1.04","10.97","上市半導體","ASIC","IC設計,設計IP,ASIC",台積電轉投資之設計IP與客製化ASIC廠
154	,"3455.TW","由田","258","5.74","3608","93","16.77","0","5.86","0.32","4.88","12.66","1.38","13","4.3","3.34","-0.2","0.25","5.97","上櫃光電","PCB相關設備","PCB相關設備,半導體製程設備,IC檢測設備,設備儀器商,面板設備",應用於載板、PCB、面板的AOI檢測設備商
155	,"3490.TW","單井","45.05","2.04","2513","89","17.49","0","0.82","-0.99","-0.66","10.28","-16.57","15.52","1.05","-2.91","-3.81","0.95","0.91","上櫃光電","設備儀器商","半導體製程設備,設備儀器商,LED設備,太陽能,太陽能系統運用,封測用設備",LED及半導體封裝模具及設備供應商
156	,"3498.TW","陽程","214","7.54","3224","99","0","0","10.03","0.27","15.99","12.04","5.16","14.58","7.12","0.78","-0.62","2.25","11.18","上櫃其他電子","PCB相關設備","PCB相關設備,設備儀器商,自動化設備,產業機械",台灣PCB暨CCL、環境工程及物流等自動化設備廠
157	,"3504.TW","揚明光","78.5","0.64","1077","75","16.76","0","-5.69","-0.93","-0.25","-6.44","-16.58","-5.48","-11.46","-7.56","-3.4","0.1","-4.7","上市光電","微投影機","光學鏡片/頭,消費性電子產品,微投影機,光學元件,週邊產品,3D印表機",中光電旗下微投光機及光學元件生產廠商
158	,"3518.TW","柏騰","34","4.78","7184","81","12.6","0","11.25","6.85","9.32","15.25","22.97","3.7","5.75","6.16","-0.45","-4.09","11.48","上市其他電子","機殼表面處理","機殼表面處理,電子零件元件",為台灣第一家具備低溫真空濺鍍之專業廠商
159	,"3532.TW","台勝科","452.5","1.69","4617","99","13.48","0","8.67","0.71","2.49","10.37","14.85","-5.24","0.09","1.28","1.68","-0.9","7.95","上市半導體","矽晶圓","矽晶圓,IC製造",台塑與Sumco合資成立的矽晶圓製造商
160	,"3543.TW","州巧","45.7","-0.65","785","89","17.06","0","0.61","-0.43","3.16","8.42","-7.86","1.53","-7.26","-8.14","-6.01","-1.6","0.4","上市光電","模具沖壓","家居用品,模具沖壓,電子零件元件",專注LCD TV面板沖壓件製造商
161	,"3563.TW","牧德","769","2.12","1433","77","19.64","0","12.02","-4.98","16.69","15.12","10.97","4.4","10.17","6.18","1.98","0.22","12.48","上市光電","PCB相關設備","PCB相關設備,IC檢測設備,設備儀器商,封測用設備",台灣最大的PCB光學檢測設備供應商
162	,"3580.TW","友威科","102","2.31","1017","80","9.73","0","13.81","1.19","7.82","18.33","26.08","4.92","12.09","8.07","7","3.32","9.02","上櫃其他電子","設備儀器商","半導體製程設備,設備儀器商",台灣真空設備與真空濺鍍供應商
163	,"3591.TW","艾笛森","24.65","0.2","1126","68","12.74","0","7.95","0.92","5.34","8.59","20.24","-5.95","-4.01","-3.91","-2.18","-2.65","6.1","上市光電","LED封裝","LED,LED封裝,LED照明產品",台灣最大高功率LED產品設計製造廠商
164	,"3605.TW","宏致","183.5","1.94","14852","98","0","0","32.42","2.36","31.07","43.36","53.56","3.92","4.15","3.85","1.86","3.33","10.83","上市電子零組件","連接器","連接器,其他電子零件,電子零件元件,連接線材",國內連接器及連接線組、配件製造商
165	,"3653.TW","健策","6920","7.96","2756","98","0","0","19.68","1.11","29.23","19.52","22.59","-6.49","2.63","0.75","1.28","3.8","15.72","上市電子零組件","其他散熱零件","散熱模組,導線架,封測服務與材料,其他散熱零件",台灣均熱片兼LED導線架供應商
166	,"3680.TW","家登","542","2.65","1421","78","12.01","0","3.55","0.49","2.85","1.31","10.5","5","3.85","-1.65","4.78","-0.62","4.93","上櫃半導體","半導體製程設備","半導體製程設備,設備儀器商",全球第一大半導體光罩載具廠
167	,"3693.TW","營邦","729","-0.41","1968","95","0.41","0","8.22","1.3","4.59","5.5","31.12","-16.72","0.01","-1.9","7.47","4.67","7.46","上櫃電腦及週邊設備","伺服器機殼","伺服器機殼,電子零件元件,準系統,電腦系統業",台灣伺服器機箱兼系統平台服務商
168	,"3702.TW","大聯大","117.5","3.07","8052","84","9.62","0","9.76","0.75","5.86","8.8","15.76","33.32","12.88","14.65","3.67","-1.71","10.07","上市電子通路","IC零組件通路商","控股公司,IC零組件通路商,電子通路",全球暨亞太區第一大的半導體零組件通路商
169	,"3704.TW","合勤控","40.5","0.5","1010","63","19.64","0","-0.28","-0.45","0.5","2.79","-4.59","-4.06","-11.68","-15.73","-15.46","-2.33","-0.6","上市通信網路","網通設備","控股公司,用戶端設備,無線網路設備系統(WLAN),網通設備,電信設備,接取設備,區域網路,光通訊,光纖設備",兼營品牌「ZyXEL」與代工業務之網通設備廠
170	,"3711.TW","日月光投控","699","0.87","10964","96","3.85","0","11.51","0.76","13.84","7.54","15.54","3.21","26.11","11.3","9.23","-0.71","10.23","上市半導體","IC封裝","IC封裝,IC測試,IC封裝測試,電子製造服務,電腦系統業",全球封測龍頭
171	,"3714.TW","富采","67.6","0.15","8698","84","16.95","0","4.96","0.32","3.21","9.03","6.46","-6.78","-2.26","-0.37","1.29","2.26","5.78","上市光電","LED晶粒","控股公司,LED,LED晶粒,LED封裝,LED磊晶,LED照明產品,MicroLED",全球前五大LED一條龍廠
172	,"3717.TW","聯嘉投控","25.35","-2.69","13382","67","13.63","0","11.18","0.52","10.7","18.18","10.22","-21.54","-0.31","0.56","-1.33","-5.8","8.07","上市汽車","LED封裝","LED,LED封裝",車用LED模組及元件廠
173	,"4147.TW","中裕","62.1","-4.31","1620","25","19.04","0","-0.9","-0.48","-0.64","0.81","-8.81","-20.74","2.09","0.95","-7.11","-0.6","-1.71","上櫃生技醫療","新藥研發","醫藥產業,新藥研發,生物製劑",專注於愛滋新藥研發
174	,"4532.TW","瑞智","25.2","1.2","768","41","13.4","0","4.65","0.22","0.8","6.33","4.35","17.45","4.75","5","-0.55","-5.14","8.81","上市電機機械","壓縮機","壓縮機,產業機械",聲寶旗下，全球知名壓縮機廠
175	,"4566.TW","時碩工業","74.3","9.91","7828","78","2.62","0","14.36","-6.31","14.84","15.73","11.39","31.82","26.83","21.49","5.56","1.18","19.04","上市電機機械","金屬加工／製品","汽機車零組件,傳產其他,金屬加工/製品",台灣精密金屬零件加工廠商
176	,"4770.TW","上品","281.5","2.36","4524","72","7.1","0","19.2","1.47","16.32","17.78","32.16","1.04","12.4","10.72","11.16","7.47","11.77","上市化工","合成樹脂","合成樹脂,化學工業,傳產其他,金屬加工/製品",全球氟素樹脂加工應用廠商
177	,"4903.TW","聯光通","43","2.02","5381","79","19.17","0","15.55","-18.81","25.73","19.78","17.49","2.86","2.6","1.61","1.51","0.27","10.42","上櫃通信網路","光通訊","光纖光纜,光通訊",光通訊工程承包及光纖光纜製造商
178	,"4904.TW","遠傳","105.5","0","1986","66","6.22","0","1.15","0.19","-0.94","0.96","3.94","-1.16","1.05","3.55","3.46","-0.39","3.1","上市通信網路","電信／數據服務","低軌道衛星,網通設備,電信/數據服務,通訊服務,衛星通訊服務,行動通訊",台灣前三大電信業者之一
179	,"4916.TW","事欣科","102.5","-1.91","2855","86","17.67","0","3.63","-0.05","-0.49","8.24","-0.97","-5.88","-5.01","2.24","0.28","-5.44","4.33","上市電腦及週邊設備","博奕機台","航天軍工,航天機械零組件,工業電腦,博奕機台",從事博奕機台、工業電腦、航太零組件等業務
