符合條件商品
資料日期：2026年  9月 24日
策略,	RS加權
"序號","代碼","商品","成交","漲幅%","總量","歐奈爾RS評分(1-99)","距最高收盤跌幅(%)","處置股(1=是)","20日乖離率(%)","月線斜率(%)","近5日漲幅(%)","近10日漲幅(%)","近20日漲幅(%)","1日籌碼集中度(%)","5日籌碼集中度(%)","10日籌碼集中度(%)","20日籌碼集中度(%)","60日籌碼集中度(%)","布林通道位階","產業","細產業","所有細產業",產業地位
19	,"1609.TW","大亞","37.85","0","1731","46","19.98","0","0.6","0.01","0.53","0.26","0.26","-1.21","8.75","8.57","6.89","3.31","3.33","上市電器電纜","電力電纜","電線電纜,漆包線,裸銅線,電力電纜",國內電力電纜、漆包線知名廠商
20	,"1708.TW","東鹼","52.3","4.39","7343","80","15.24","0","4.21","0.16","2.35","5.87","3.16","21.57","12.94","11.54","4.09","-2.87","9.79","上市化工","肥料","肥料,化學產品通路,化學工業,散裝航運,運輸事業",台灣老牌硫酸鉀(SOP)肥料廠
21	,"1709.TW","和益","43.5","-9.94","48880","97","9.94","0","14.93","1.25","1.28","23.23","27.38","-43.96","-11.24","-7.07","-4.81","-0.19","6.44","上市化工","烷基苯","烷基苯,合成樹脂,酚,化學工業",台灣烷化品大廠、且為唯一氫化石油樹脂商
22	,"1710.TW","東聯","16.4","-1.8","3366","67","13","0","1.3","0.19","-1.5","2.82","3.8","2.58","-0.98","2.76","4.43","-2.2","2.85","上市化工","EG","化學工業,其他化工產品,化纖原料,EG",遠東集團旗下，EG大廠
23	,"1717.TW","長興","71.4","0.42","4319","82","16.39","0","-3.2","-0.3","0.14","-0.42","-5.8","-12.6","-11.42","-14.97","-1.39","2.09","-2.67","上市化工","合成樹脂","合成樹脂,化學工業,半導體化學品",亞洲最大合成樹脂廠，亦是全球最大乾膜光阻劑
24	,"1727.TW","中華化","115.5","-0.86","47933","95","0.86","0","18.46","0.96","10","27.77","19.2","-9.96","-2.31","4.24","2.38","2.16","10.75","上市化工","強酸產品","染料，顏料,強酸產品,化學工業,其他化工產品,半導體化學品",台灣主要生產硫酸產品之廠商
25	,"1808.TW","潤隆","31.9","0","1505","58","19.95","0","-7.18","-0.59","-6.59","-7.27","-11.27","-12.62","-6.52","-5.26","-5.09","4.65","-10.89","上市建材營造","營建","營建,地產",興富發集團旗下建商
26	,"1815.TW","富喬","116","-3.33","28870","85","14.07","0","-5.63","-0.02","3.57","-7.94","-0.43","-30.63","-2.22","-6.73","0.58","2.8","-5.95","上櫃電子零組件","玻纖布","玻纖布,印刷電路板相關",台灣玻纖紗、玻纖布一貫廠
27	,"1904.TW","正隆","24.9","0.2","1261","79","3.3","0","0.38","-0.11","-0.4","-2.54","-2.16","21.02","12.63","3.26","3.32","12.88","1.59","上市造紙","工業用紙","工業用紙,文化用紙,家庭用紙,造紙業",台灣最大工業用紙生產商
28	,"1909.TW","榮成","10.1","0","1046","57","11.79","0","-4.4","-0.38","-1.94","-5.16","-7.34","-11.09","-11.83","-14.34","-9.47","5.06","-5.67","上市造紙","工業用紙","工業用紙,造紙業",國內前三大工業用紙生產商
29	,"2006.TW","東和鋼鐵","87.8","2.33","1650","82","0.79","0","5.96","0.42","6.42","8.13","8.66","33.82","18.28","12.8","7.55","10.06","10.86","上市鋼鐵","鋼筋","鋼筋,條鋼,型鋼",台灣最大型鋼廠及三大鋼筋廠之一
30	,"2027.TW","大成鋼","47.6","2.15","10270","74","6.67","0","-0.61","-0.11","1.06","-1.24","-2.16","30.51","2.39","-3.22","-3.74","8.97","-0.97","上市鋼鐵","不鏽鋼","螺絲螺帽,線材盤元,不鏽鋼,不鏽鋼品,不鏽鋼管,非鐵金屬,鋁",美國最大不鏽鋼產品通路商及最大鋁捲板廠
31	,"2030.TW","彰源","30.4","9.95","17986","94","0","0","26.19","1.56","29.36","28.54","32.17","26.67","11.86","10.84","10.04","9.23","15.65","上市鋼鐵","不鏽鋼管","不鏽鋼,不鏽鋼剪裁加工,不鏽鋼管",台灣不鏽鋼管、不鏽鋼板製造大廠
